,index,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,year,genres,num final genres
3383,3591,We Are The Dead,Mike Shackle,149065.0,46.22,8.51,2.28,0.39,1.9,2019.0,"['Fantasy', 'Adult']",2
3384,3592,Wasting Talent,Ryan Leone,75299.0,59.32,8.4,2.87,1.11,1.76,2014.0,['Memoir'],1
3385,3593,Her Daughter’s Mother,Daniela Petrova,93751.0,42.61,8.81,2.71,0.91,1.81,2019.0,"['Thriller', 'Mystery', 'Contemporary', 'Suspense']",4
3386,3594,Chart Throb,Ben Elton,130013.0,35.01,9.9,4.11,1.68,2.42,2006.0,"['Contemporary', 'Mystery']",2
3387,3596,The Girl Before You,Nicola Rayner,91198.0,48.67,8.84,3.31,1.23,2.08,2019.0,"['Thriller', 'Mystery', 'Crime']",3
3388,3597,The Other Woman,Sandie Jones,97864.0,36.43,10.07,3.72,1.43,2.29,2018.0,"['Thriller', 'Mystery', 'Suspense']",3
3389,3598,Shifter in the Swamp,Martha Carr & Michael Anderle,68196.0,55.03,6.37,3.03,1.16,1.87,2021.0,"['Fantasy', 'Paranormal', 'Young Adult']",3
3390,3599,How to Mars,David Ebenbach,67066.0,38.52,9.41,4.16,1.62,2.55,2021.0,"['Science Fiction', 'Adult', 'Fantasy']",3
3391,3600,Finlay Donovan Is Killing It,Elle Cosimano,100400.0,55.2,7.59,2.35,0.98,1.37,2021.0,"['Thriller', 'Mystery', 'Adult', 'Contemporary']",4
3392,3601,Stardust in Their Veins,Laura Sebastian,141773.0,42.37,8.58,2.91,0.98,1.93,2023.0,"['Fantasy', 'Young Adult', 'Romance']",3
3393,3602,Freezing Point,Grace Hamilton,79758.0,58.25,8.46,2.43,0.77,1.66,2018.0,['Science Fiction'],1
3394,3603,All the Colors of Night,Jayne Ann Krentz,84733.0,44.93,8.72,2.46,1.09,1.37,2021.0,"['Romance', 'Paranormal', 'Mystery', 'Fantasy']",4
3395,3605,The Hanging Artist,Jon Steinhagen,87797.0,41.04,9.01,2.94,0.89,2.05,2019.0,"['Thriller', 'Historical', 'Mystery', 'Historical Fiction', 'Fantasy']",5
3396,3606,The Killer On The Wall,Emma Kavanagh,90761.0,46.61,8.57,3.23,1.02,2.2,2017.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
3397,3607,There But For The,Ali Smith,78581.0,41.13,8.95,3.38,0.99,2.39,2011.0,"['Contemporary', 'Literary Fiction', 'Adult']",3
3398,3608,The Stationery Shop,Marjan Kamali,85241.0,51.25,8.5,2.92,0.88,2.04,2019.0,"['Historical Fiction', 'Romance', 'Historical', 'Contemporary']",4
3399,3609,City of God,St Augustine,501470.0,18.84,8.2,2.82,0.7,2.12,426.0,"['Classics', 'History']",2
3400,3610,Psychoville,Christopher Fowler,104451.0,56.53,7.89,2.95,1.26,1.69,1995.0,"['Horror', 'Thriller', 'Crime', 'Mystery']",4
3401,3612,Dress Your Family in Corduroy and Denim,David Sedaris,61979.0,47.75,8.29,2.82,1.04,1.77,2004.0,['Memoir'],1
3402,3613,Sooley,John Grisham,99436.0,40.03,6.95,2.42,0.78,1.64,2021.0,"['Historical Fiction', 'Contemporary']",2
3403,3614,Mutation,Michael McBride,109718.0,62.14,6.49,2.74,1.26,1.47,2020.0,"['Horror', 'Science Fiction', 'Thriller', 'Suspense', 'Paranormal']",5
3404,3615,A Castle Contended,Sharon Rose,99543.0,43.38,6.94,2.9,0.65,2.25,2021.0,['Fantasy'],1
3405,3616,Best Laid Plans,Gwen Florio,79759.0,61.2,6.83,3.06,1.09,1.97,2021.0,"['Mystery', 'Adult', 'Thriller']",3
3406,3617,The White Rose,Glen Cook,98494.0,46.28,8.35,2.52,0.73,1.8,1985.0,"['Fantasy', 'Science Fiction']",2
3407,3618,Dark Game,Rachel Lynch,89274.0,37.44,9.66,2.81,0.89,1.92,2018.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
3408,3619,The Holy Grail,Christopher Cartwright,56997.0,47.31,7.75,2.76,1.06,1.7,2018.0,"['Adventure', 'Mystery', 'Thriller']",3
3409,3620,Emma,Jane Austen,160303.0,17.4,10.46,4.83,1.35,3.48,1815.0,"['Classics', 'Romance', 'Historical Fiction', 'Historical']",4
3410,3621,Angel Maker,Morgan Greene,107075.0,44.03,8.04,2.97,0.96,2.0,2021.0,"['Thriller', 'Mystery', 'Crime']",3
3411,3622,Spirit Lost,Nancy Thayer,64455.0,57.66,7.91,3.47,1.07,2.4,1988.0,"['Horror', 'Paranormal']",2
3412,3623,Stranger in the Lake,Kimberly Belle,93316.0,62.04,7.27,2.42,0.58,1.84,2020.0,"['Thriller', 'Mystery', 'Adult', 'Suspense']",4
3413,3624,The 20th Victim,James Patterson,76098.0,45.57,7.81,2.03,0.47,1.56,2020.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
3414,3625,The Forgotten Beasts of Eld,Patricia A. Mckillip,61506.0,53.86,7.06,3.16,1.09,2.07,1974.0,"['Fantasy', 'Young Adult', 'Romance']",3
3415,3626,Judas Strain,James Rollins,145676.0,74.32,5.66,2.31,0.81,1.5,2007.0,"['Thriller', 'Mystery', 'Adventure', 'Science Fiction']",4
3416,3627,Pianos and Flowers,Alexander McCall Smith,41607.0,32.5,9.65,3.01,1.05,1.96,2019.0,"['Historical Fiction', 'Romance', 'Adult']",3
3417,3628,Under the Roofs of Paris,Henry Miller,97394.0,47.58,9.2,3.2,0.85,2.35,1941.0,['Classics'],1
3418,3629,Death in Florence,Blake Pierce,59543.0,45.03,8.69,3.38,1.19,2.19,2021.0,"['Mystery', 'Thriller']",2
3419,3630,A Thousand-Mile Walk to the Gulf,John Muir,36543.0,91.04,5.43,2.91,1.23,1.67,1916.0,"['Memoir', 'Biography', 'History']",3
3420,3631,Paladin,Natalie Grey,53246.0,33.05,9.31,3.31,1.29,2.02,2018.0,['Science Fiction'],1
3421,3632,The Huntress,Kate Quinn,164297.0,54.65,7.71,2.71,0.85,1.87,2019.0,"['Historical Fiction', 'Historical', 'Mystery']",3
3422,3633,Dead Man’s Steel,Luke Scull,139596.0,57.73,6.37,2.61,1.13,1.48,2016.0,"['Fantasy', 'Science Fiction']",2
3423,3634,Transall Saga,Gary Paulsen,53989.0,59.36,8.29,2.62,0.86,1.75,1998.0,"['Science Fiction', 'Young Adult', 'Fantasy', 'Adventure']",4
3424,3635,Genestealer Cults,Peter Fehervari,64737.0,63.98,6.95,2.39,1.04,1.35,2016.0,['Science Fiction'],1
3425,3636,The Mentor,Lee Matthew Goldberg,91074.0,46.32,7.92,3.03,0.9,2.13,2017.0,"['Thriller', 'Mystery', 'Suspense', 'Horror']",4
3426,3638,Medallion Status,John Hodgman,78519.0,43.83,8.83,3.17,1.08,2.09,2019.0,"['Memoir', 'Biography']",2
3427,3639,Woman No. 17,Edan Lepucki,103880.0,50.28,9.37,2.81,0.8,2.02,2017.0,"['Thriller', 'Mystery', 'Contemporary']",3
3428,3640,The Lost Order,Steve Berry,133014.0,42.23,8.33,2.83,1.0,1.83,2017.0,"['Thriller', 'Mystery', 'Adventure', 'Suspense', 'Historical Fiction']",5
3429,3641,The Animals,Christian Kiefer,97784.0,61.46,6.44,3.12,0.74,2.38,2015.0,"['Literary Fiction', 'Thriller', 'Contemporary', 'Crime', 'Suspense']",5
3430,3642,The Increment,David Ignatius,113949.0,37.41,9.37,2.83,0.75,2.08,2009.0,"['Thriller', 'Mystery']",2
3431,3643,Mother Knows Best,Kira Peikoff,78344.0,48.49,8.12,3.11,0.95,2.16,2019.0,"['Thriller', 'Mystery', 'Adult', 'Suspense']",4
3432,3644,Castle in the Air,Diana Wynne Jones,66746.0,57.17,7.33,3.93,1.63,2.31,1990.0,"['Fantasy', 'Young Adult', 'Adventure']",3
3433,3646,The High Tide Club,Mary Kay Andrews,143662.0,51.62,8.17,3.0,1.13,1.86,2018.0,"['Mystery', 'Romance', 'Contemporary']",3
3434,3647,The Genius Plague,David Walton,118192.0,41.04,8.7,2.86,1.09,1.78,2017.0,"['Thriller', 'Fantasy', 'Science Fiction']",3
3435,3649,Son of a Liche,I. Zachary Pike,188606.0,54.27,6.78,2.65,0.94,1.71,2018.0,['Fantasy'],1
3436,3651,Our Child of Two Worlds,Stephen Cox,109702.0,45.52,9.42,2.6,0.46,2.14,2021.0,"['Historical Fiction', 'Science Fiction', 'Young Adult', 'Fantasy']",4
3437,3652,The Hawk Eternal,David Gemmell,115077.0,59.44,7.34,2.49,0.73,1.76,1995.0,"['Fantasy', 'Science Fiction']",2
3438,3653,Angel Falls,Kristin Hannah,81937.0,55.27,7.87,2.96,0.92,2.04,2000.0,"['Romance', 'Contemporary', 'Adult']",3
3439,3654,Dichronauts,Greg Egan,96121.0,44.49,8.66,3.12,1.21,1.91,,"['Fantasy', 'Science Fiction']",2
3440,3655,A Veil for the Vanguard,Danny F. Santos,78800.0,54.97,6.81,2.06,0.44,1.62,,"['Fantasy', 'Young Adult']",2
3441,3656,Dracul,Dacre Stoker & J. D. Barker,142926.0,55.74,6.23,2.9,0.91,1.99,2018.0,"['Horror', 'Historical Fiction', 'Fantasy', 'Paranormal']",4
3442,3657,A Hologram for the king,Dave Eggers,70180.0,48.86,8.85,2.78,0.75,2.03,2012.0,"['Contemporary', 'Literary Fiction']",2
3443,3658,Gunpowder Moon,David Pedreira,80494.0,54.8,7.07,2.08,0.6,1.49,2018.0,"['Thriller', 'Mystery', 'Science Fiction']",3
3444,3659,Sovereign Silk,ElizaBeth Gilligan,178900.0,40.17,7.1,3.07,1.2,1.87,2017.0,['Fantasy'],1
3445,3661,The Hour of the Fox,Cassandra Clark,89658.0,41.4,8.56,2.8,0.78,2.03,2020.0,"['Mystery', 'Historical Fiction', 'Historical']",3
3446,3662,Sixteen Ways to Defend a Walled City,K. J. Parker,99385.0,41.98,9.3,3.38,1.09,2.29,2019.0,"['Fantasy', 'Historical Fiction', 'Historical']",3
3447,3663,A Job You Mostly Won’t Know How To Do,Pete Fromm,71285.0,67.01,6.39,2.52,0.57,1.95,2019.0,"['Contemporary', 'Literary Fiction', 'Adult']",3
3448,3664,Impossible,Sarah Lotz,108109.0,33.86,9.71,3.17,1.16,2.0,2022.0,"['Romance', 'Science Fiction', 'Fantasy', 'Contemporary', 'Adult']",5
3449,3665,Five Little Words,Jackie Walsh,80399.0,44.83,9.67,2.73,0.69,2.03,2020.0,"['Mystery', 'Thriller']",2
3450,3666,Touch of Light,April Aasheim,63507.0,58.81,7.59,2.84,0.97,1.87,2017.0,"['Paranormal', 'Mystery', 'Fantasy']",3
3451,3667,Silence on Cold River,Casey Dunn,95883.0,52.21,7.91,2.3,0.64,1.66,2020.0,"['Mystery', 'Thriller']",2
3452,3668,The Minuscule Mansion of Myra Malone,Audrey Burges,85271.0,52.66,7.85,2.9,0.78,2.11,2023.0,"['Fantasy', 'Romance', 'Contemporary', 'Adult']",4
3453,3669,Takeaway: Stories from a Childhood Behind the Counter,Angela Hui,78547.0,80.22,6.28,2.97,1.27,1.7,2022.0,"['Memoir', 'Biography']",2
3454,3670,White City,Kevin Power,113203.0,47.65,7.96,2.93,1.27,1.66,2021.0,['Adult'],1
3455,3671,Red Winter,Annette Marie,95955.0,61.69,6.77,2.89,1.19,1.7,2016.0,"['Fantasy', 'Young Adult', 'Romance']",3
3456,3672,The Berlin Girl,Mandy Robotham,101058.0,46.85,7.32,3.64,1.55,2.08,2020.0,"['Historical Fiction', 'Historical', 'Romance']",3
3457,3673,The Moscow Deception,Karen Robards,101175.0,52.32,8.57,2.65,1.04,1.61,2018.0,"['Thriller', 'Mystery', 'Adult', 'Suspense']",4
3458,3674,Pride and Prejudice,Jane Austen,121737.0,15.17,9.49,4.33,1.4,2.93,1813.0,"['Classics', 'Romance', 'Historical Fiction', 'Historical']",4
3459,3675,Hester,Laurie Lico Albanese,101800.0,70.53,7.58,2.08,0.35,1.74,2022.0,"['Historical Fiction', 'Historical', 'Romance', 'Adult']",4
3460,3676,Game Changer,Neal Shusterman,96794.0,30.93,9.98,3.3,0.88,2.42,2021.0,"['Young Adult', 'Science Fiction', 'Fantasy', 'Contemporary']",4
3461,3677,Twisted,Andrew E. Kaufman,75212.0,44.41,7.92,3.69,1.14,2.55,2015.0,"['Thriller', 'Mystery', 'Suspense', 'Horror']",4
3462,3678,Touching the Dead,Wendy Cartmell,47590.0,38.42,9.45,2.97,0.76,2.22,2019.0,['Paranormal'],1
3463,3679,The Tyrant Baru Cormorant,Seth Dickinson,248806.0,47.99,8.33,2.61,0.86,1.74,2020.0,"['Fantasy', 'Science Fiction']",2
3464,3680,City of Pearl,Alys Clare,89569.0,45.3,8.25,4.03,1.4,2.63,2019.0,"['Mystery', 'Historical Fiction', 'Fantasy', 'Historical', 'Adult']",5
3465,3681,Love in Lingerie,Alessandra Torre,56297.0,58.66,6.96,2.48,0.93,1.55,2017.0,"['Romance', 'Contemporary', 'Adult']",3
3466,3682,Horrid,Katrina Leno,71297.0,53.48,8.38,3.4,1.22,2.18,2020.0,"['Horror', 'Young Adult', 'Mystery', 'Thriller', 'Paranormal', 'Contemporary']",6
3467,3683,Blue Hollow,Cheryl Rees-Price,94688.0,41.37,9.25,2.15,0.33,1.82,2021.0,"['Mystery', 'Crime', 'Thriller']",3
3468,3684,Doggerland,Ben Smith,60615.0,70.97,7.0,2.95,0.87,2.08,2019.0,"['Science Fiction', 'Contemporary']",2
3469,3685,The Devil Stone,Caro Marsay,92280.0,49.5,8.94,2.65,0.83,1.82,2022.0,"['Mystery', 'Crime', 'Thriller']",3
3470,3686,Dead Moon,Peter Clines,98960.0,58.58,5.72,2.1,0.54,1.56,2019.0,"['Science Fiction', 'Horror', 'Fantasy', 'Thriller']",4
3471,3687,Hard Shot,J. B. Turner,63225.0,39.33,8.77,2.32,0.73,1.59,2019.0,['Thriller'],1
3472,3688,The House at Pooh Corner,A. A. Milne,25606.0,40.7,9.66,4.84,1.48,3.37,1928.0,"['Classics', 'Fantasy']",2
3473,3689,The Bruising of Qilwa,Naseem Jamnia,39772.0,57.39,7.53,2.69,0.72,1.98,2022.0,"['Fantasy', 'Adult']",2
3474,3690,Fir,Sharon Gosling,63582.0,49.91,10.12,3.25,1.09,2.17,2017.0,"['Horror', 'Young Adult', 'Thriller', 'Mystery', 'Paranormal', 'Fantasy']",6
3475,3691,Soulmates,Jessica Grose,77123.0,41.42,8.37,3.06,1.17,1.89,2016.0,"['Mystery', 'Contemporary', 'Thriller', 'Suspense']",4
3476,3692,Beyond Justice,Cara Putman,92800.0,38.26,8.38,2.4,0.63,1.77,2017.0,"['Suspense', 'Mystery', 'Contemporary', 'Romance']",4
3477,3693,Night in Tehran,Philip Kaplan,87916.0,48.49,6.87,2.65,0.93,1.72,2020.0,"['Thriller', 'Historical Fiction', 'Mystery']",3
3478,3694,Fox and I,Catherine Raven,88925.0,92.9,5.69,2.35,0.78,1.57,2021.0,"['Memoir', 'Biography']",2
3479,3696,Sophie Last Seen,Marlene Adelstein,88296.0,57.09,7.95,2.79,0.91,1.89,2018.0,"['Thriller', 'Mystery', 'Adult', 'Contemporary', 'Suspense']",5
3480,3697,The Land,Thomas Maltman,73992.0,59.39,6.85,2.31,0.53,1.78,2020.0,"['Mystery', 'Horror']",2
3481,3699,The Courtesan’s Avenger,Kate M. Colby,94034.0,44.02,7.85,2.57,0.84,1.73,2016.0,['Fantasy'],1
3482,3700,An Unwanted Guest,Shari Lapena,73216.0,46.44,9.51,3.69,1.66,2.03,2018.0,"['Thriller', 'Mystery', 'Adult', 'Suspense']",4
3483,3701,The Disordered Cosmos,Chanda Prescod-Weinstein,92077.0,31.35,7.75,3.52,1.54,1.98,2021.0,"['Memoir', 'History']",2
3484,3702,One of Us Is Lying,Shalini Boland,78769.0,39.61,10.17,3.44,1.19,2.24,2020.0,"['Thriller', 'Mystery', 'Suspense']",3
3485,3703,The Manhattan Job,Jason Kasper,99141.0,46.98,6.8,2.97,1.07,1.9,2021.0,"['Young Adult', 'Thriller', 'Crime', 'Mystery']",4
3486,3704,For the Power,Debbie Cassidy,57603.0,59.13,8.54,2.48,0.76,1.73,2019.0,"['Romance', 'Fantasy']",2
3487,3705,Deranged,T. R. Ragan,73099.0,40.16,8.73,2.48,0.7,1.77,2018.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
3488,3706,Fortuna,Kristyn Merbeth,159728.0,47.6,7.18,3.1,1.11,2.0,2019.0,"['Science Fiction', 'Adult', 'Fantasy']",3
3489,3707,The Evil Inside,Marc Layton,90894.0,44.43,8.52,3.11,1.04,2.07,2022.0,['Horror'],1
3490,3708,The House of Night and Chain,David Annandale,80157.0,40.08,10.1,2.71,0.82,1.89,2019.0,"['Horror', 'Science Fiction', 'Fantasy']",3
3491,3710,Return to Haven,D. J. Holmes,111002.0,29.76,8.7,2.92,0.83,2.09,2016.0,['Science Fiction'],1
3492,3711,Stone Kiss,Faye Kellerman,119474.0,44.54,9.37,2.87,0.87,2.0,2002.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
3493,3712,Clear My Name,Paula Daly,82271.0,41.43,9.66,3.43,1.24,2.18,2019.0,"['Thriller', 'Mystery', 'Crime', 'Adult', 'Contemporary']",5
3494,3713,The Border Keeper,Kerstin Hall,39926.0,80.75,6.04,2.03,0.72,1.31,2019.0,"['Fantasy', 'Horror', 'Adult']",3
3495,3714,Artemis,Andy Weir,87623.0,47.35,8.48,2.84,0.89,1.95,2017.0,"['Adult', 'Fantasy', 'Science Fiction']",3
3496,3715,My Cat Yugoslavia,Pajtim Statovci,75177.0,58.35,6.96,3.09,1.11,1.97,2014.0,"['Contemporary', 'Fantasy']",2
3497,3716,Diary,Chuck Palahniuk,64297.0,96.56,5.84,1.64,0.16,1.49,2003.0,"['Horror', 'Contemporary', 'Thriller', 'Mystery']",4
3498,3717,Stormbreak,Natalie C. Parker,92703.0,56.16,7.59,2.59,0.9,1.69,2021.0,"['Fantasy', 'Young Adult', 'Adventure', 'Science Fiction']",4
3499,3718,Provenance,Ann Leckie,107801.0,29.93,10.4,3.78,1.48,2.3,2017.0,"['Fantasy', 'Science Fiction']",2
3500,3719,Murder in Venice,Maria Luisa Minarelli,86367.0,46.29,8.89,3.51,1.06,2.45,2019.0,"['Historical Fiction', 'Mystery', 'Thriller', 'Crime']",4
3501,3720,Of Darkness and Light,Heidi Eljarbo,61133.0,53.16,7.77,2.5,0.8,1.69,2020.0,"['Thriller', 'Historical', 'Mystery', 'Historical Fiction']",4
3502,3722,The Boys of Summer,Richard Cox,133780.0,38.66,9.63,3.23,1.03,2.21,2016.0,"['Horror', 'Science Fiction', 'Thriller', 'Fantasy', 'Mystery']",5
3503,3723,Taken,Robert Crais,76061.0,55.09,7.17,2.19,0.42,1.76,2012.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
3504,3724,Poster Girl,Veronica Roth,89645.0,63.36,6.79,2.25,0.47,1.78,2022.0,"['Science Fiction', 'Mystery', 'Adult', 'Fantasy', 'Young Adult']",5
3505,3725,Dreams of Steel,Glen Cook,85577.0,41.07,10.05,2.35,0.73,1.62,1990.0,"['Fantasy', 'Science Fiction']",2
3506,3726,The Big Time,Fritz Leiber,39164.0,44.3,8.08,3.13,1.18,1.95,1958.0,"['Science Fiction', 'Classics', 'Fantasy']",3
3507,3727,The Witchery,S. Isabelle,87230.0,56.42,7.38,2.6,1.14,1.46,2022.0,"['Fantasy', 'Young Adult', 'Paranormal']",3
3508,3728,The Brethren,John Grisham,103533.0,39.27,8.32,3.28,1.03,2.26,2000.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
3509,3729,Upper Bohemia,Hayden Herrera,65198.0,67.81,6.49,2.14,0.51,1.62,2020.0,"['Memoir', 'Biography']",2
3510,3730,The Sigma Protocol,Robert Ludlum,192836.0,45.84,8.13,3.4,1.47,1.93,2001.0,"['Thriller', 'Mystery', 'Adventure', 'Suspense']",4
3511,3732,Woman of Substances,Jenny Valentish,77813.0,42.81,7.84,3.05,1.3,1.75,2017.0,"['Memoir', 'Biography']",2
3512,3733,Killing Jericho,Will Harker,87068.0,44.66,8.1,2.83,0.83,2.0,2020.0,"['Thriller', 'Mystery', 'Adult']",3
3513,3734,The Hostile Hospital,Lemony Snicket,37035.0,52.29,7.91,2.84,0.94,1.91,2001.0,"['Young Adult', 'Fantasy', 'Mystery', 'Adventure']",4
3514,3735,The Double Vice,Chris Holcombe,86190.0,51.73,7.57,2.81,0.8,2.01,2021.0,"['Mystery', 'Historical']",2
3515,3737,The Magic Kingdom,Russell Banks,124652.0,47.4,6.14,2.82,1.12,1.7,2022.0,"['Historical Fiction', 'Historical', 'Literary Fiction']",3
3516,3738,A Painted House,John Grisham,118987.0,55.03,7.66,2.95,0.95,2.01,2001.0,"['Mystery', 'Historical Fiction', 'Thriller', 'Suspense', 'Historical']",5
3517,3739,At the Existentialist Cafe,Sarah Bakewell,114687.0,29.09,6.2,3.22,1.18,2.04,2016.0,"['History', 'Biography']",2
3518,3740,The Duke of Daring,Darcy Burke,74670.0,36.58,9.45,3.41,1.28,2.13,2016.0,"['Romance', 'Historical', 'Historical Fiction']",3
3519,3741,Plausible Deniability,Stephen Leather,52380.0,46.08,7.07,3.22,0.92,2.3,2019.0,['Thriller'],1
3520,3742,Crushed,Kate Hamer,110107.0,61.16,8.56,3.51,1.14,2.37,2019.0,"['Thriller', 'Young Adult']",2
3521,3743,Idaho,Emily Ruskovich,99074.0,62.82,7.36,2.86,0.74,2.12,2017.0,"['Mystery', 'Literary Fiction', 'Contemporary', 'Thriller']",4
3522,3744,Black Flag,David Ricciardi,84412.0,55.13,7.15,2.02,0.9,1.12,2020.0,"['Thriller', 'Mystery']",2
3523,3745,Earthfall,Rhett C. Bruno,67783.0,45.6,8.11,2.72,0.95,1.77,2016.0,['Science Fiction'],1
3524,3746,Tamer Animals,Justin M. Woodward,47143.0,46.67,8.07,2.65,0.96,1.69,2018.0,['Horror'],1
3525,3747,Red Clocks,Leni Zumas,67698.0,74.71,7.76,2.21,0.54,1.67,2018.0,"['Science Fiction', 'Adult', 'Contemporary']",3
3526,3748,Dark Mountain,Jeff Carson,63513.0,64.9,5.79,2.33,0.52,1.8,2017.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
3527,3749,Water Sleeps,Glen Cook,154840.0,35.87,9.45,3.09,1.13,1.97,1999.0,['Fantasy'],1
3528,3750,Best Man To Die,Ruth Rendell,61122.0,46.28,8.95,3.26,1.26,2.01,1969.0,"['Thriller', 'Mystery', 'Crime']",3
3529,3751,Light on Bone,Kathryn Lasky,86005.0,51.25,8.2,3.48,1.16,2.32,2022.0,"['Mystery', 'Historical Fiction', 'Historical', 'Adult']",4
3530,3752,Fascism: A Warning,Madeleine Albright,74686.0,28.79,6.08,2.57,0.97,1.6,2018.0,['History'],1
3531,3754,Elixir Project,Kary Oberbrunner,69003.0,49.4,6.1,2.71,0.81,1.9,2016.0,"['Young Adult', 'Science Fiction']",2
3532,3755,The Passenger,Cormac McCarthy,120721.0,50.97,7.73,2.35,0.64,1.71,2022.0,"['Historical Fiction', 'Mystery', 'Literary Fiction', 'Thriller']",4
3533,3756,Irrationality,Justin E. H. Smith,109490.0,20.3,7.38,3.73,1.74,1.99,2019.0,['History'],1
3534,3757,Cheap Land Colorado: Off-Gridders at America’s Edge,Ted Conover,97388.0,46.73,7.61,2.75,0.96,1.8,2022.0,"['History', 'Memoir']",2
3535,3758,The Watchmaker of Filigree Street,Natasha Pulley,103553.0,53.77,9.16,3.11,0.97,2.14,2015.0,"['Fantasy', 'Historical Fiction', 'Historical', 'Mystery']",4
3536,3760,Accidental Tourist,Anne Tyler,104758.0,57.75,8.16,3.6,1.01,2.59,1985.0,"['Contemporary', 'Romance', 'Literary Fiction']",3
3537,3761,Red Queen,Victoria Aveyard,111755.0,61.44,7.11,2.63,0.88,1.75,2015.0,"['Fantasy', 'Young Adult', 'Romance']",3
3538,3762,Scandals in Savannah,Harper Lin,59379.0,51.27,9.24,2.39,0.83,1.57,2020.0,['Mystery'],1
3539,3763,The Doctor of Aleppo,Dan Mayland,94942.0,54.69,8.18,2.82,0.82,2.0,2020.0,"['Historical Fiction', 'Suspense', 'Thriller', 'Historical', 'Literary Fiction']",5
3540,3765,Death Rope,Leigh Russell,87541.0,32.2,10.58,3.06,1.23,1.83,2018.0,"['Crime', 'Mystery', 'Thriller']",3
3541,3766,Busted,Karin Slaughter,20231.0,47.27,8.05,2.21,0.84,1.37,2013.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
3542,3767,Life,Keith Richards & James Fox,179182.0,40.55,9.41,3.25,1.04,2.22,2001.0,"['Fantasy', 'Classics', 'Adventure', 'Contemporary']",4
3543,3768,The Faceless Man,Helen H. Durrant,59504.0,26.4,11.64,2.69,0.66,2.04,2021.0,"['Crime', 'Mystery']",2
3544,3769,On Rotation,Shirlene Obuobi,102497.0,43.31,7.72,3.46,1.34,2.12,2022.0,"['Romance', 'Contemporary', 'Adult']",3
3545,3770,A Fiery Whisper,Tamsen Schultz,75347.0,35.9,8.81,2.86,0.9,1.96,2020.0,"['Mystery', 'Suspense', 'Romance', 'Contemporary']",4
3546,3771,The Players,Darren O’Sullivan,85750.0,31.54,9.94,2.66,0.81,1.85,,"['Thriller', 'Crime', 'Mystery']",3
3547,3772,Idoru,William Gibson,73928.0,68.05,7.55,2.79,1.07,1.72,1996.0,"['Fantasy', 'Science Fiction']",2
3548,3773,Court of Wolves,Robyn Young,152076.0,64.44,6.5,1.89,0.61,1.28,2018.0,['Historical Fiction'],1
3549,3774,Heir of Fire,Sarah J. Maas,162517.0,55.29,7.91,2.7,0.76,1.94,2014.0,"['Fantasy', 'Young Adult', 'Romance']",3
3550,3775,The Wingless Angel,Fabrice Wilfong,100514.0,58.03,6.78,3.33,1.44,1.9,2020.0,"['Fantasy', 'Horror']",2
3551,3776,An Evil Hour,Jill McGown,67866.0,32.0,10.38,3.02,1.07,1.95,1986.0,['Mystery'],1
3552,3777,Bad Parts,Brandon McNulty,89630.0,71.75,6.05,2.13,0.62,1.52,2020.0,"['Horror', 'Fantasy', 'Thriller', 'Adult']",4
3553,3778,Ubik,Philip K. Dick,66529.0,42.97,7.48,3.27,1.32,1.96,1969.0,"['Mystery', 'Classics', 'Fantasy', 'Science Fiction']",4
3554,3779,Lisey’s Story,Stephen King,184005.0,50.35,8.44,3.36,0.99,2.37,2006.0,"['Horror', 'Fantasy', 'Thriller', 'Mystery', 'Romance']",5
3555,3780,The Book Club Murders,Leslie Nagel,76972.0,53.41,7.49,3.35,1.53,1.82,2016.0,"['Thriller', 'Mystery', 'Crime', 'Romance']",4
3556,3781,The Wife Who Knew Too Much,Michele Campbell,92359.0,43.21,9.41,2.45,0.71,1.74,2020.0,"['Thriller', 'Mystery', 'Suspense']",3
3557,3782,Face of Murder,Blake Pierce,62003.0,32.08,9.4,3.35,1.22,2.12,2020.0,"['Mystery', 'Crime', 'Thriller', 'Suspense']",4
3558,3783,America 51,Corey Taylor,76088.0,33.58,8.85,3.35,1.15,2.2,2017.0,['Biography'],1
3559,3784,The Final Flight,James Blatch,128612.0,44.27,7.28,2.47,0.92,1.54,2021.0,"['Thriller', 'Historical Fiction']",2
3560,3785,Sisters of the Winter Wood,Rena Rossner,87113.0,52.13,8.62,2.32,0.53,1.79,2018.0,"['Fantasy', 'Historical Fiction', 'Young Adult', 'Adult']",4
3561,3786,Son,Lois Lowry,76191.0,55.86,8.44,3.67,1.19,2.48,2012.0,"['Young Adult', 'Fantasy', 'Science Fiction', 'Classics']",4
3562,3787,Young Mungo,Douglas Stuart,130765.0,67.13,7.37,2.31,0.62,1.69,2022.0,"['Contemporary', 'Romance', 'Literary Fiction', 'Historical Fiction']",4
